tan·ga·nho,"nome masculino",tə̃.gˈə.ɲʊ
tan·gar,verbo,tə̃.gˈa
tan·ga·rá,"nome masculino",tə̃.ga.ɾˈa
"tan·gên·ci· a","nome feminino",tə̃.ʒˈẽj.sjə
tan·gen·ci·al,"nome feminino",tə̃.ʒẽ.sjˈaw
tan·gen·ci·al,adjetivo,tə̃.ʒẽ.sjˈaw
tan·gen·ci·al·men·te,advérbio,tə̃.ʒẽ.sjaw.mˈẽj.tʃi
tan·gen·ci·ar,verbo,tə̃ʒẽ.sjˈa
tan·gen·te,"nome feminino",tə̃.ʒˈẽj.tʃi
tan·gen·te,adjetivo,tə̃.ʒˈẽj.tʃi
tan·ger,verbo,tə̃.ʒˈe
tan·ge·ri·na,"nome feminino",tə̃.ʒe.ɾˈi.nə
tan·ge·ri·no,adjetivo,tə̃.ʒe.ɾˈi.nʊ
tan·gi·bi·li·da·de,"nome feminino",tə̃.ʒi.bi.li.dˈa.dʒi
tan·gí·vel,adjetivo,tə̃.ʒˈi.vew
tan·gi·vel·men·te,advérbio,tə̃.ʒi.vew.mˈẽj.tʃi
tan·go,"nome masculino",tˈə̃.gʊ
tan·guis·ta,"nome masculino","tə̃.gˈis.tə ou tə̃.gˈis.tə"
ta·ni,"nome masculino",ta.nˈi
ta·ni·nar,verbo,ta.ni.nˈa
ta·ni·no,"nome masculino",ta.nˈi.nʊ
ta·ni·no·so,adjetivo,ta.ni.nˈo.zʊ
tan·ja,"nome feminino",tˈə̃.ʒə
ta·no·ar,verbo,ta.no.ˈa
ta·no·a·ri·a,"nome feminino",ta.no.a.ɾˈi.jə
ta·no·ei·ro,"nome masculino",ta.nwˈej.ɾʊ
tan·que,"nome masculino",tˈə̃.ki
tan·so,adjetivo,tˈə̃.sʊ
tan·so,"nome masculino",tˈə̃.sʊ
tan·tã,"nome masculino",tə̃.tˈə̃
tan·tã,adjetivo,tə̃.tˈə̃
tân·ta·lo,"nome masculino",tˈə̃.ta.lʊ
tan·to,pronome,tˈə̃.tʊ
tan·to,artigo,tˈə̃.tʊ
tan·to,"nome masculino",tˈə̃.tʊ
tan·to,advérbio,tˈə̃.tʊ
tan·tra,"nome masculino",tˈə̃.tɾə
tân·tri·co,adjetivo,tˈə̃.tɾi.kʊ
tan·tris·mo,"nome masculino",tə̃.tɾˈiz.mʊ
tan·za·ni·a·na,"nome feminino",tə̃.za.njˈə.nə
tan·za·ni·a·no,"nome masculino",tə̃.za.njˈə.nʊ
tan·za·ni·a·no,adjetivo,tə̃.za.njˈə.nʊ
tao,"nome masculino",tˈaw
tão,advérbio,tˈə̃w
tão-pou·co,advérbio,tə̃w.pˈo.kʊ
tao·is·mo,"nome masculino",ta.wˈiz.mʊ
ta·ois·ta,adjetivo,ta.wˈis.tə
ta·ois·ta,"nome masculino","ta.wˈis.tə ou ta.wˈis.tə"
ta·pa,"nome feminino",tˈa.pə
ta·pa-bu·ra·cos,"nome masculino",tˌa.pə.bu.ɾˈa.kʊs
ta·pa-se·xo,"nome masculino",tˌa.pə.sˈɛ.kə.sʊ
ta·pa-sol,"nome masculino",tˌa.pə.sˈɔw
ta·pa·da,"nome feminino",ta.pˈa.də
ta·pa·dão,"nome masculino",ta.pa.dˈə̃w
ta·pa·do,adjetivo,ta.pˈa.dʊ
ta·pa·do,"nome masculino",ta.pˈa.dʊ
ta·pa·jó,adjetivo,ta.pa.ʒˈɔ
ta·pa·jó,"nome masculino","ta.pa.ʒˈɔ ou ta.pa.ʒˈɔ"
ta·pa·men·to,"nome masculino",ta.pa.mˈẽj.tʊ
ta·par,verbo,ta.pˈa
ta·pe·ar,verbo,ta.pi.ˈa
ta·pe·çar,verbo,ta.pe.sˈa
ta·pe·ça·ri·a,"nome feminino",ta.pe.sa.ɾˈi.jə
ta·pe·cei·ro,"nome masculino",ta.pe.sˈej.ɾʊ
ta·pe·tar,verbo,ta.pe.tˈa
ta·pe·te,"nome masculino",ta.pˈe.tʃi
ta·pi·nha,"nome feminino",ta.pˈi.ɲə
ta·pi·o·ca,"nome feminino",ta.pi.ˈɔ.kə
ta·pir,"nome masculino",ta.pˈiɾ
ta·po,"nome masculino",tˈa.pʊ
ta·pu·me,"nome masculino",ta.pˈu.mi
ta·qui·car·di·a,"nome feminino",ta.ki.kaɾ.dʒˈi.jə
ta·quí·me·tro,"nome masculino",ta.kˈi.me.tɾʊ
ta·ra,"nome feminino",tˈa.ɾə
ta·ra·da,"nome feminino",ta.ɾˈa.də
ta·ra·do,"nome masculino",ta.ɾˈa.dʊ
ta·ra·do,adjetivo,ta.ɾˈa.dʊ
ta·ram·bo·la,"nome feminino",ta.ɾə̃.bˈɔ.lə
ta·ran·te·la,"nome feminino",ta.ɾə̃.tˈɛ.lə
ta·rân·tu·la,"nome feminino",ta.ɾˈə̃.tu.lə
ta·rar,verbo,ta.ɾˈa
ta·ra·rá,"nome masculino",ta.ɾa.ɾˈa
tar·dar,verbo,taɾ.dˈa
tar·de,advérbio,tˈaɾ.dʒi
tar·de,"nome masculino",tˈaɾ.dʒi
tar·de,"nome feminino",tˈaɾ.dʒi
tar·di·a·men·te,advérbio,taɾ.dʒja.mˈẽj.tʃi
tar·di·nha,"nome feminino",taɾ.dʒˈi.ɲə
tar·di·o,adjetivo,taɾ.dʒˈi.ʊ
tar·do,adjetivo,tˈaɾ.dʊ
tar·do,"nome masculino",tˈaɾ.dʊ
tar·doz,"nome masculino",taɾ.dˈɔs
ta·re·ar,verbo,ta.ɾi.ˈa
ta·re·ca,"nome feminino",ta.ɾˈɛ.kə
ta·re·co,"nome masculino",ta.ɾˈɛ.kʊ
ta·re·co,adjetivo,ta.ɾˈɛ.kʊ
ta·re·fa,"nome feminino",ta.ɾˈɛ.fə
ta·re·far,verbo,ta.ɾe.fˈa
